YEAR,MONTH,MONTH_CATEGORY,WEEK,DAY_CATEGORY,AGE_BUCKET,GENDER,RACE,PROVINCE,TOTAL_RECORDS,TOTAL_VIEWTIME_MINUTES,TOTAL_VIEWTIME_HOURS,AVG_VIEWTIME_MINUTES,AVG_VIEWTIME_HOURS
2016,Feb,Normal_month,5,Weekday,Young Adulthood,female,None,WesternCape,1,289,4.82,289,4.82
2016,Feb,Normal_month,5,Weekday,Young Adulthood,female,black,FreeState,3,10,0.17,3.33,0.06
2016,Feb,Normal_month,5,Weekday,Young Adulthood,female,black,Gauteng,3,11,0.18,3.67,0.06
2016,Feb,Normal_month,5,Weekday,Young Adulthood,female,black,KwazuluNatal,6,200,3.33,33.33,0.56
2016,Feb,Normal_month,5,Weekday,Young Adulthood,female,black,Limpopo,1,0,0,0,0
2016,Feb,Normal_month,5,Weekday,Young Adulthood,female,black,Mpumalanga,1,22,0.37,22,0.37
2016,Feb,Normal_month,5,Weekday,Young Adulthood,female,coloured,EasternCape,1,0,0,0,0
2016,Feb,Normal_month,5,Weekday,Young Adulthood,female,coloured,Gauteng,2,3,0.05,1.5,0.03
2016,Feb,Normal_month,5,Weekday,Young Adulthood,female,coloured,Mpumalanga,1,3,0.05,3,0.05
2016,Feb,Normal_month,5,Weekday,Young Adulthood,female,coloured,WesternCape,1,3,0.05,3,0.05
2016,Feb,Normal_month,5,Weekday,Young Adulthood,female,indian_asian,KwazuluNatal,1,7,0.12,7,0.12
2016,Feb,Normal_month,5,Weekday,Young Adulthood,female,white,FreeState,2,1,0.02,0.5,0.01
2016,Feb,Normal_month,5,Weekday,Young Adulthood,female,white,Gauteng,1,0,0,0,0
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,None,Gauteng,10,9,0.15,0.9,0.02
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,None,KwazuluNatal,2,0,0,0,0
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,None,Mpumalanga,3,6,0.1,2,0.03
